Authors,Source,Title,Year,composition,Ag (at.%),Al (at.%),Au (at.%),Cd (at.%),Co (at.%),Cu (at.%),Fe (at.%),Hf (at.%),Mn (at.%),Nb (at.%),Ni (at.%),Pd (at.%),Pt (at.%),Ru (at.%),Si (at.%),Ta (at.%),Ti (at.%),Zn (at.%),Zr (at.%),Austenite Finish Temperature - AF - (°C),Austenite Start Temperature - AS - (°C),Martensite Finish Temperature - MF - (°C),Martensite Start Temperature - MS - (°C),Cooling Rate (°C/min),Heating Rate (°C/min),Calculated Density (g/cm^3),Thermal transformation span (TSPAN) - (AF-MF) - (°C)
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu68.3Al25.8Mn5.9 %,,25.8,,,,68.3,,,5.9,,,,,,,,,,,43.1,25.8,1.8,10.4,,,7.22969,41.3
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu68.3Al25.8Mn5.9 %,,25.8,,,,68.3,,,5.9,,,,,,,,,,,43.1,25.8,1.8,20.4,,,7.22969,41.3
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu70.0Al24.1Mn5.9 %,,24.1,,,,70.0,,,5.9,,,,,,,,,,,68.0,47.8,21.2,44.4,,,7.33543,46.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu70.0Al24.0Mn6.0 %,,24.0,,,,70.0,,,6.0,,,,,,,,,,,68.0,47.8,21.2,44.4,,,7.3402,46.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu72.0Al22.0Mn6.0 %,,22.0,,,,72.0,,,6.0,,,,,,,,,,,94.0,69.0,49.0,72.0,,,7.4646,45.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu72.0Al22.0Mn6.0 %,,22.0,,,,72.0,,,6.0,,,,,,,,,,,94.0,69.0,49.0,72.0,,,7.4646,45.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu67.4Al26.4Mn6.2 %,,26.4,,,,67.4,,,6.2,,,,,,,,,,,28.9,12.0,-12.0,4.0,,,7.18802,40.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu67.4Al26.4Mn6.2 %,,26.4,,,,67.4,,,6.2,,,,,,,,,,,28.9,12.0,-12.0,4.0,,,7.18802,40.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu65.8Al27.9Mn6.3 %,,27.9,,,,65.8,,,6.3,,,,,,,,,,,2.3,-17.0,-38.6,-26.0,,,7.09327,40.9
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu72.5Al20.9Mn6.6 %,,20.9,,,,72.5,,,6.6,,,,,,,,,,,152.0,135.0,106.0,127.0,,,7.52432,46.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu67.4Al25.8Mn6.8 %,,25.8,,,,67.4,,,6.8,,,,,,,,,,,29.8,11.2,-16.1,2.3,,,7.21664,45.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu68.2Al24.9Mn6.9 %,,24.9,,,,68.2,,,6.9,,,,,,,,,,,34.5,16.2,-3.8,10.8,,,7.27117,38.3
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu68.2Al24.9Mn6.9 %,,24.9,,,,68.2,,,6.9,,,,,,,,,,,34.5,16.2,-3.8,10.8,,,7.27117,38.3
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu69.0Al24.1Mn6.9 %,,24.1,,,,69.0,,,6.9,,,,,,,,,,,45.7,30.6,8.6,25.7,,,7.32093,37.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu71.6Al21.4Mn7.0 %,,21.4,,,,71.6,,,7.0,,,,,,,,,,,80.0,58.0,35.0,56.0,,,7.48742,45.0
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu63.8Al28.9Mn7.3 %,,28.9,,,,63.8,,,7.3,,,,,,,,,,,-30.0,-46.0,-68.4,-53.0,,,7.01657,38.4
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu64.9Al27.4Mn7.7 %,,27.4,,,,64.9,,,7.7,,,,,,,,,,,-14.6,-29.4,-53.3,-38.3,,,7.10407,38.7
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu66.5Al25.7Mn7.8 %,,25.7,,,,66.5,,,7.8,,,,,,,,,,,13.0,-8.0,-28.2,-14.1,,,7.20836,41.2
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu66.5Al25.7Mn7.8 %,,25.7,,,,66.5,,,7.8,,,,,,,,,,,13.0,-8.0,-28.2,-14.1,,,7.20836,41.2
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu67.3Al24.9Mn7.8 %,,24.9,,,,67.3,,,7.8,,,,,,,,,,,22.0,8.9,-20.7,-6.8,,,7.25812,42.7
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu67.3Al24.9Mn7.8 %,,24.9,,,,67.3,,,7.8,,,,,,,,,,,22.0,8.9,-20.7,-6.8,,,7.25812,42.7
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu68.1Al24.0Mn7.9 %,,24.0,,,,68.1,,,7.9,,,,,,,,,,,33.4,18.4,-5.4,11.8,,,7.31265,38.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu68.1Al24.0Mn7.9 %,,24.0,,,,68.1,,,7.9,,,,,,,,,,,33.4,18.4,-5.4,11.8,,,7.31265,38.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu68.9Al23.2Mn7.9 %,,23.2,,,,68.9,,,7.9,,,,,,,,,,,78.1,63.8,40.5,74.2,,,7.36241,37.6
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu68.9Al23.2Mn7.9 %,,23.2,,,,68.9,,,7.9,,,,,,,,,,,48.2,30.0,6.0,21.8,,,7.36241,42.2
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu70.0Al22.0Mn8.0 %,,22.0,,,,70.0,,,8.0,,,,,,,,,,,94.0,69.0,59.0,82.0,,,7.4356,35.0
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu70.0Al21.5Mn8.5 %,,21.5,,,,70.0,,,8.5,,,,,,,,,,,69.0,54.0,37.0,53.0,,,7.45945,32.0
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu66.3Al24.9Mn8.8 %,,24.9,,,,66.3,,,8.8,,,,,,,,,,,10.2,-9.1,-35.9,-20.3,,,7.24362,46.1
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu71.7Al19.5Mn8.8 %,,19.5,,,,71.7,,,8.8,,,,,,,,,,,123.0,100.0,69.0,91.0,,,7.5795,54.0
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,Cu66.2Al24.0Mn9.8 %,,24.0,,,,66.2,,,9.8,,,,,,,,,,,3.2,-14.6,-32.6,-20.0,,,7.2851,35.8
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,Cu70.1Al23.6Mn6.3 %,,23.6,,,,70.1,,,6.3,,,,,,,,,,,42.0,10.0,-13.0,5.0,,,7.36073,55.0
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,Cu69.3Al23.8Mn6.9 %,,23.8,,,,69.3,,,6.9,,,,,,,,,,,-3.0,-38.0,-63.0,-23.0,,,7.33959,60.0
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,Cu68.2Al22.8Mn9.0 %,,22.8,,,,68.2,,,9.0,,,,,,,,,,,-48.0,-78.0,-113.0,-73.0,,,7.37134,65.0
Mellor ;Hernaez; Castillo,,SHAPE MEMORY EFFECTS IN A Cu-AI-Mn ALLOY,1986.0,Cu70.5Al22.8Mn6.7 %,,22.8,,,,70.5,,,6.7,,,,,,,,,,,88.0,20.0,-32.0,33.0,,,7.40469,120.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu72.0Al25.0Mn3.0 %,,25.0,,,,72.0,,,3.0,,,,,,,,,,,200.0,120.0,80.0,140.0,,,7.3215,120.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu71.4Al25.4Mn3.2 %,,25.4,,,,71.4,,,3.2,,,,,,,,,,,45.0,26.0,6.0,28.0,,,7.29372,39.0
Mielczarek; Wockel;Riehemann,,Effect of cold rolling on the damping of as cast Cu – Al - Mn shape memory alloys,2008.0,Cu71.6Al24.2Mn4.2 %,,24.2,,,,71.6,,,4.2,,,,,,,,,,,50.0,-2.0,-29.0,0.0,,,7.35386,79.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu71.8Al23.6Mn4.6 %,,23.6,,,,71.8,,,4.6,,,,,,,,,,,60.0,41.0,-10.0,18.0,,,7.38538,70.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu72.0Al23.3Mn4.7 %,,23.3,,,,72.0,,,4.7,,,,,,,,,,,100.0,62.0,0.0,42.0,,,7.40259,100.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu70.8Al24.3Mn4.9 %,,24.3,,,,70.8,,,4.9,,,,,,,,,,,-8.0,-35.0,-50.0,-27.0,,,7.33749,42.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu71.8Al23.3Mn4.9 %,,23.3,,,,71.8,,,4.9,,,,,,,,,,,90.0,55.0,20.0,45.0,,,7.39969,70.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu71.6Al23.4Mn5.0 %,,23.4,,,,71.6,,,5.0,,,,,,,,,,,90.0,55.0,20.0,45.0,,,7.39202,70.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu71.7Al23.2Mn5.1 %,,23.2,,,,71.7,,,5.1,,,,,,,,,,,120.0,46.0,0.0,40.0,,,7.40301,120.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu71.8Al23.1Mn5.1 %,,23.1,,,,71.8,,,5.1,,,,,,,,,,,125.0,45.0,20.0,71.0,,,7.40923,105.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu70.8Al24.0Mn5.2 %,,24.0,,,,70.8,,,5.2,,,,,,,,,,,65.0,42.0,18.0,38.0,,,7.3518,47.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,Cu71.1Al22.2Mn6.7 %,,22.2,,,,71.1,,,6.7,,,,,,,,,,,136.0,0.0,-20.0,20.0,,,7.44201,156.0
Obrado; Manosa; Planes,,Stability of the bcc phase of Cu-Al-Mn shape-memory alloys,1997.0,Cu69.29Al23.76Mn6.95 %,,23.76,,,,69.29,,,6.95,,,,,,,,,,,-35.0,-48.0,-73.0,-55.0,,,7.341353,38.0
Obrado; Manosa; Planes,,Stability of the bcc phase of Cu-Al-Mn shape-memory alloys,1997.0,Cu70.89Al19.96Mn9.15 %,,19.96,,,,70.89,,,9.15,,,,,,,,,,,30.0,14.0,2.0,21.0,,,7.545813,28.0
Omori; Wang; Sutou; Kainuma; Ishida,,Two-Way Shape Memory Effect Induced by Bending Deformation in Ductile Cu–Al–Mn Alloys,2002.0,Cu72.0Al17.0Mn11.0 %,,17.0,,,,72.0,,,11.0,,,,,,,,,,,7.0,-21.0,-38.0,-17.0,,,7.7031,45.0
Pan; Li; Wang; Deng; Li; Zheng,,The effect of non-isothermal aging on the phase of Cu73Al24Mn3 alloy,2007.0,Cu73.0Al24.0Mn3.0 %,,24.0,,,,73.0,,,3.0,,,,,,,,,,,270.0,225.0,125.0,230.0,,,7.3837,145.0
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,Cu71.3Al18.8Mn9.9 %,,18.8,,,,71.3,,,9.9,,,,,,,,,,,-14.0,-36.0,-53.0,-27.0,,,7.60709,39.0
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,Cu70.8Al18.0Mn11.2 %,,18.0,,,,70.8,,,11.2,,,,,,,,,,,-100.0,-143.0,-155.0,-111.0,,,7.638,55.0
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,Cu70.1Al16.9Mn13.0 %,,16.9,,,,70.1,,,13.0,,,,,,,,,,,-198.0,-237.0,-255.0,-227.0,,,7.68032,57.0
Quian; Geng; Wang; Pillsbury; Hada; Yamagucki; Fujimoto; Hwang; Radermacher; Cui; Yuki; Toyotake; Takeuchi,,Elastocaloric effect in CuAlZn and CuAlMn shape memory alloys under compression,2016.0,Cu73.0Al15.0Mn12.0 %,,15.0,,,,73.0,,,12.0,,,,,,,,,,,-12.0,-26.0,-52.0,-39.0,,,7.813,40.0
Qian; Geng; Wang ; Pillsbury ; Hada ;Yamaguchi ;Fujimoto ;Hwang ;Radermacher ; Cui ;Yuki ; Toyotake; Takeuchi,,Elastocaloric effect in CuAlZn and CuAlMn shape memory alloys under compression,2016.0,Cu73.0Al15.0Mn12.0 %,,15.0,,,,73.0,,,12.0,,,,,,,,,,,-12.0,-26.0,-39.0,-52.0,,,7.813,27.0
Sutou; Omori; Okamoto; Kainuma; Ishida,,Effect of grain refinement on the mechanical and shape memory properties of Cu-AI-Mn base alloys,2001.0,Cu73.0Al17.0Mn10.0 %,,17.0,,,,73.0,,,10.0,,,,,,,,,,,76.0,63.0,36.0,57.0,,,7.7176,40.0
Sutou; Omori; Okamoto; Kainuma; Ishida,,Effect of grain refinement on the mechanical and shape memory properties of Cu-AI-Mn base alloys,2001.0,Cu74.0Al16.0Mn10.0 %,,16.0,,,,74.0,,,10.0,,,,,,,,,,,97.0,81.0,59.0,76.0,,,7.7798,38.0
Titenko; Demchenko,,Effect of Annealing in Magnetic Field on Ferromagnetic Nanoparticle Formation in Cu-Al-Mn Alloy with Induced Martensite Transformation,2016.0,Cu73.2Al22.6Mn4.2 %,,22.6,,,,73.2,,,4.2,,,,,,,,,,,19.0,-15.0,-26.0,-5.0,,,7.45338,45.0
Trehern,Materials letters,Exploring thermomechanical functionality of CuAlMn as an extreme low temperature shape memory alloy,,Cu69.4Al18.6Mn12.0 %,,18.6,,,,69.4,,,12.0,,,,,,,,,,,-116.0,-140.0,-153.0,-129.0,,,7.58908,37.0
Trehern,Materials letters,Exploring thermomechanical functionality of CuAlMn as an extreme low temperature shape memory alloy,,Cu69.2Al18.6Mn12.2 %,,18.6,,,,69.2,,,12.2,,,,,,,,,,,-151.0,-166.0,-181.0,-167.0,,,7.58618,30.0
Trehern,Materials letters,Exploring thermomechanical functionality of CuAlMn as an extreme low temperature shape memory alloy,,Cu68.8Al18.6Mn12.6 %,,18.6,,,,68.8,,,12.6,,,,,,,,,,,-157.0,-174.0,-197.0,-175.0,,,7.58038,40.0
Trehern,Materials letters,Exploring thermomechanical functionality of CuAlMn as an extreme low temperature shape memory alloy,,Cu68.6Al18.6Mn12.8 %,,18.6,,,,68.6,,,12.8,,,,,,,,,,,-182.0,-206.0,-226.0,-206.0,,,7.57748,44.0
Ursanu; Stanciu; Pricop; Sandulache; Cimpoesu,,Dynamic mechanical analyze of superelastic CuMnAl shape memory alloy,,Cu69.5Al20.5Mn10.0 %,,20.5,,,,69.5,,,10.0,,,,,,,,,,,7.0,-17.0,-89.0,-38.0,,,7.4999,96.0
Wang; Lu; Cui; Xu; Yang,,Internal friction of a CuAlMn shape memory alloy studied as a function of frequency,,Cu73.5Al24.0Mn2.5 %,,24.0,,,,73.5,,,2.5,,,,,,,,,,,345.0,315.0,200.0,210.0,,,7.39095,145.0
Xu; Huang; Xie; Kimura; Xu; Omori; Kainuma,,Dynamic Recovery and Superelasticity of Columnar-Grained Cu–Al–Mn Shape Memory Alloy,,Cu57.0Al33.0Mn10.0 %,,33.0,,,,57.0,,,10.0,,,,,,,,,,,-40.0,-52.0,-68.0,-56.0,,,6.7224,28.0
Zarubova; Novak,,Phase stability of CuAlMn shape memory alloys,,Cu70.6Al25.3Mn4.1 %,,25.3,,,,70.6,,,4.1,,,,,,,,,,,0.0,-18.0,-43.0,-25.0,,,7.28689,43.0
Zarubova; Novak,,Phase stability of CuAlMn shape memory alloys,,Cu70.9Al20.4Mn8.7 %,,20.4,,,,70.9,,,8.7,,,,,,,,,,,22.0,7.0,-8.0,3.0,,,7.52497,30.0
K. Sugimoto; T. Mori; K. Otsuka and K. Shimizu,Scripta Metallurgica,Simultaneous measurements of internal friction; young's modulus and shape change associated with thermoelastic martensite transformation in Cu-Al-Ni single crystals,1974.0,Cu67.9Al28.3Mn3.8 %,,28.3,,,,67.9,,,3.8,,,,,,,,,,,-44.0,-78.0,-110.0,-84.0,1.0,1.0,7.10464,66.0
K. Sugimoto; T. Mori; K. Otsuka and K. Shimizu,Scripta Metallurgica,Simultaneous measurements of internal friction; young's modulus and shape change associated with thermoelastic martensite transformation in Cu-Al-Ni single crystals,1974.0,Cu67.6Al28.4Mn4.0 %,,28.4,,,,67.6,,,4.0,,,,,,,,,,,-100.0,-121.0,-150.0,-130.0,1.0,1.0,7.09552,50.0
L. Brown,Metallurgical and Materials Transactions A,Pseudoelasticity in β Cu Al Ni alloys at temperatures belowMs,1975.0,Cu69.3Al28.0Mn2.7 %,,28.0,,,,69.3,,,2.7,,,,,,,,,,,30.0,2.0,-28.0,-5.0,,,7.13925,58.0
K. Otsuka; H. Sakamoto and K. Shimizu,Scripta Metallurgica,Two stage superelasticity associated with successive martensite-to-martensite transformations,1976.0,Cu68.6Al27.6Mn3.8 %,,27.6,,,,68.6,,,3.8,,,,,,,,,,,68.0,28.0,19.0,33.0,,,7.14818,49.0
K. Otsuka; C. Wayman; K. Nakai; H. Sakamoto and K. Shimizu,Acta Metallurgica,Superelasticity effects and stress-induced martensitic transformations in Cu-Al-Ni alloys,1976.0,Cu67.6Al28.4Mn4.0 %,,28.4,,,,67.6,,,4.0,,,,,,,,,,,-90.0,-109.0,-150.0,-140.0,,,7.09552,60.0
N. Yang; C. Laird and D. P. Pope,Metallurgical Transactions A,The cyclic stress-strain response of polycrystalline; pseudoelastic Cu-14.5 wt pct Al-3 wt pct Ni alloy,1977.0,Cu68.8Al28.5Mn2.7 %,,28.5,,,,68.8,,,2.7,,,,,,,,,,,-20.0,-24.0,-68.0,-38.0,,,7.10815,48.0
H. Sakamoto; K. Otsuka and K. Shimizu,Scripta Metallurgica,The heredity of martensitic transformations in ordered alloys,1978.0,Cu68.6Al27.6Mn3.8 %,,27.6,,,,68.6,,,3.8,,,,,,,,,,,52.0,7.0,-9.0,10.0,,,7.14818,61.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,Ni36.0Ti49.0Hf15.0 %,,,,,,,,15.0,,,36.0,,,,,,49.0,,,341.0,307.0,231.0,278.0,20.0,20.0,7.41181,110.0
J. Rao; T. Roberts; K. Lawson and J. Nicholls,Surface and Coatings Technology,Nickel titanium and nickel titanium hafnium shape memory alloy thin films,2010.0,Ni40.0Ti30.0Hf30.0 %,,,,,,,,30.0,,,40.0,,,,,,30.0,,,109.0,98.0,90.0,99.0,5.0,5.0,8.9083,19.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,Ni40.0Ti50.0Hf10.0 %,,,,,,,,10.0,,,40.0,,,,,,50.0,,,207.0,179.0,115.0,141.0,5.0,5.0,7.1477,92.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,Ni41.0Ti49.0Hf10.0 %,,,,,,,,10.0,,,41.0,,,,,,49.0,,,220.0,206.0,147.0,154.0,20.0,20.0,7.19171,73.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,Ni43.0Ti42.0Hf15.0 %,,,,,,,,15.0,,,43.0,,,,,,42.0,,,277.0,238.0,200.0,233.0,10.0,10.0,7.71988,77.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,Ni44.0Ti49.0Hf7.0 %,,,,,,,,7.0,,,44.0,,,,,,49.0,,,166.0,144.0,80.0,91.0,20.0,20.0,7.05965,86.0
Y. Tong; Y. Liu and J. Miao,Thin Solid Films,Phase transformation in NiTiHf shape memory alloy thin films,2008.0,Ni45.0Ti32.0Hf23.0 %,,,,,,,,23.0,,,45.0,,,,,,32.0,,,306.0,253.0,142.0,190.0,,,8.51214,164.0
S.-W. Kim; J. W. Jo; C. H. Park; J.-K. Hong; J.-T. Yeom and H.-G. Kim,Materials Science and Engineering: A,Fracture toughness of TiNiHf alloys: A hybrid study using in-situ transmission electron microscopy experiments and finite element analyses,2016.0,Ni46.0Ti39.0Hf15.0 %,,,,,,,,15.0,,,46.0,,,,,,39.0,,,274.0,251.0,206.0,237.0,10.0,10.0,7.85191,68.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,Ni46.0Ti49.0Hf5.0 %,,,,,,,,5.0,,,46.0,,,,,,49.0,,,143.0,127.0,69.0,79.0,20.0,20.0,6.97161,74.0
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,Ni46.1Ti28.8Hf25.1 %,,,,,,,,25.1,,,46.1,,,,,,28.8,,,376.0,321.0,269.0,298.0,,,8.745414,107.0
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,Ni46.8Ti23.3Hf29.9 %,,,,,,,,29.9,,,46.8,,,,,,23.3,,,503.0,401.0,334.0,409.0,,,9.198765,169.0
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,Ni46.9Ti33.2Hf19.9 %,,,,,,,,19.9,,,46.9,,,,,,33.2,,,275.0,208.0,170.0,199.0,,,8.322866,105.0
G. S. Firstov; J. Van Humbeeck and Y. N. Koval,Materials Science and Engineering: A,High-temperature shape memory alloys,2004.0,Ni47.1Ti38.2Hf14.7 %,,,,,,,,14.7,,,47.1,,,,,,38.2,,,221.0,160.0,113.0,174.0,5.0,5.0,7.873912,108.0
Y. Tong; Y. Liu; J. Miao and L. Zhao,Scripta Materialia,Characterization of a nanocrystalline NiTiHf high temperature shape memory alloy thin film,2005.0,Ni47.9Ti35.7Hf16.4 %,,,,,,,,16.4,,,47.9,,,,,,35.7,,,196.0,162.0,105.0,125.0,10.0,10.0,8.058771,91.0
Y. Tong; Y. Liu and J. Miao,Thin Solid Films,Phase transformation in NiTiHf shape memory alloy thin films,2008.0,Ni47.9Ti35.7Hf16.4 %,,,,,,,,16.4,,,47.9,,,,,,35.7,,,204.0,134.0,100.0,130.0,,,8.058771,104.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,Ni48.0Ti49.0Hf3.0 %,,,,,,,,3.0,,,48.0,,,,,,49.0,,,127.0,110.0,64.0,76.0,20.0,20.0,6.88357,63.0
Y. Tong; Y. Liu and J. Miao,Thin Solid Films,Phase transformation in NiTiHf shape memory alloy thin films,2008.0,Ni48.0Ti37.7Hf14.3 %,,,,,,,,14.3,,,48.0,,,,,,37.7,,,168.0,105.0,70.0,103.0,,,7.878309,98.0
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,Ni48.3Ti45.5Hf6.2 %,,,,,,,,6.2,,,48.3,,,,,,45.5,,,112.0,109.0,52.0,79.0,,,7.178469,60.0
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,Ni48.5Ti50.5Hf1.0 %,,,,,,,,1.0,,,48.5,,,,,,50.5,,,132.0,61.0,34.0,60.0,,,6.729515,98.0
